10947,,,AVERAGE,STDEV
4136,,,381.421875,868.7410193
2043,,,,
1257,,,,
1017,,,,
838,,,,
782,,,,
652,,,,
609,,,,
677,,,,
634,,,,
635,,,,
654,,,,
666,,,,
738,,,,
730,,,,
764,,,,
835,,,,
897,,,,
986,,,,
1022,,,,
1040,,,,
1091,,,,
1159,,,,
1236,,,,
1254,,,,
1346,,,,
1346,,,,
1355,,,,
1506,,,,
1605,,,,
1524,,,,
1562,,,,
1694,,,,
1657,,,,
1682,,,,
1723,,,,
1731,,,,
1707,,,,
1639,,,,
1698,,,,
1595,,,,
1526,,,,
1482,,,,
1410,,,,
1329,,,,
1277,,,,
1277,,,,
1246,,,,
1152,,,,
1109,,,,
1193,,,,
1065,,,,
1029,,,,
1008,,,,
924,,,,
878,,,,
864,,,,
818,,,,
780,,,,
794,,,,
673,,,,
682,,,,
646,,,,
589,,,,
575,,,,
504,,,,
509,,,,
463,,,,
460,,,,
400,,,,
442,,,,
392,,,,
319,,,,
334,,,,
325,,,,
287,,,,
272,,,,
262,,,,
257,,,,
240,,,,
217,,,,
217,,,,
200,,,,
199,,,,
191,,,,
200,,,,
184,,,,
164,,,,
171,,,,
151,,,,
161,,,,
146,,,,
143,,,,
141,,,,
129,,,,
123,,,,
131,,,,
109,,,,
106,,,,
104,,,,
89,,,,
90,,,,
87,,,,
62,,,,
82,,,,
77,,,,
69,,,,
70,,,,
56,,,,
59,,,,
66,,,,
51,,,,
50,,,,
53,,,,
59,,,,
60,,,,
40,,,,
47,,,,
52,,,,
33,,,,
35,,,,
39,,,,
30,,,,
36,,,,
30,,,,
26,,,,
30,,,,
25,,,,
21,,,,
9,,,,
21,,,,
12,,,,
27,,,,
26,,,,
13,,,,
17,,,,
11,,,,
12,,,,
12,,,,
15,,,,
18,,,,
13,,,,
14,,,,
8,,,,
8,,,,
11,,,,
4,,,,
4,,,,
5,,,,
8,,,,
5,,,,
3,,,,
4,,,,
7,,,,
4,,,,
8,,,,
8,,,,
4,,,,
4,,,,
2,,,,
4,,,,
2,,,,
2,,,,
3,,,,
2,,,,
2,,,,
1,,,,
2,,,,
1,,,,
0,,,,
3,,,,
4,,,,
3,,,,
2,,,,
2,,,,
5,,,,
1,,,,
2,,,,
4,,,,
2,,,,
0,,,,
2,,,,
4,,,,
2,,,,
1,,,,
0,,,,
1,,,,
1,,,,
1,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
1,,,,
2,,,,
0,,,,
3,,,,
0,,,,
1,,,,
1,,,,
2,,,,
0,,,,
0,,,,
1,,,,
4,,,,
3,,,,
2,,,,
0,,,,
1,,,,
2,,,,
2,,,,
0,,,,
1,,,,
2,,,,
0,,,,
0,,,,
1,,,,
0,,,,
3,,,,
3,,,,
2,,,,
2,,,,
2,,,,
2,,,,
6,,,,
2,,,,
11,,,,
9,,,,
11,,,,
4,,,,
1,,,,
6,,,,
0,,,,
1,,,,
1,,,,
1,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
