11,,,AVERAGE,STDEV
19,,,438.5664063,892.7859697
34,,,,
31,,,,
41,,,,
54,,,,
70,,,,
86,,,,
126,,,,
144,,,,
178,,,,
223,,,,
263,,,,
344,,,,
352,,,,
422,,,,
460,,,,
501,,,,
572,,,,
648,,,,
688,,,,
755,,,,
856,,,,
945,,,,
987,,,,
1077,,,,
1221,,,,
1299,,,,
1452,,,,
1668,,,,
1815,,,,
1949,,,,
2208,,,,
2306,,,,
2489,,,,
2692,,,,
2735,,,,
2984,,,,
3076,,,,
3165,,,,
3211,,,,
3199,,,,
3334,,,,
3321,,,,
3281,,,,
3164,,,,
3222,,,,
3178,,,,
3041,,,,
2972,,,,
2820,,,,
2793,,,,
2549,,,,
2539,,,,
2497,,,,
2349,,,,
2199,,,,
1988,,,,
1742,,,,
1712,,,,
1545,,,,
1480,,,,
1319,,,,
1127,,,,
1053,,,,
993,,,,
823,,,,
852,,,,
733,,,,
722,,,,
601,,,,
527,,,,
527,,,,
414,,,,
415,,,,
348,,,,
316,,,,
253,,,,
233,,,,
214,,,,
185,,,,
185,,,,
134,,,,
125,,,,
114,,,,
94,,,,
101,,,,
88,,,,
88,,,,
71,,,,
61,,,,
51,,,,
56,,,,
41,,,,
40,,,,
37,,,,
33,,,,
21,,,,
20,,,,
20,,,,
14,,,,
20,,,,
18,,,,
13,,,,
11,,,,
15,,,,
6,,,,
6,,,,
8,,,,
6,,,,
5,,,,
4,,,,
5,,,,
3,,,,
2,,,,
2,,,,
3,,,,
1,,,,
2,,,,
1,,,,
2,,,,
1,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
1,,,,
1,,,,
0,,,,
0,,,,
1,,,,
0,,,,
0,,,,
1,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
1,,,,
0,,,,
0,,,,
1,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
