212,,,AVERAGE,STDEV
109,,,354.4765625,584.89511
133,,,,
167,,,,
166,,,,
176,,,,
231,,,,
269,,,,
325,,,,
359,,,,
405,,,,
479,,,,
576,,,,
626,,,,
671,,,,
743,,,,
805,,,,
913,,,,
955,,,,
1030,,,,
1005,,,,
1110,,,,
1170,,,,
1215,,,,
1203,,,,
1374,,,,
1331,,,,
1436,,,,
1493,,,,
1528,,,,
1601,,,,
1701,,,,
1676,,,,
1740,,,,
1801,,,,
1860,,,,
1871,,,,
1864,,,,
1982,,,,
1985,,,,
1883,,,,
1854,,,,
1889,,,,
1829,,,,
1765,,,,
1816,,,,
1665,,,,
1687,,,,
1594,,,,
1635,,,,
1570,,,,
1567,,,,
1469,,,,
1550,,,,
1433,,,,
1474,,,,
1370,,,,
1292,,,,
1286,,,,
1202,,,,
1072,,,,
1118,,,,
1008,,,,
987,,,,
947,,,,
905,,,,
849,,,,
827,,,,
756,,,,
699,,,,
685,,,,
621,,,,
590,,,,
529,,,,
570,,,,
483,,,,
473,,,,
424,,,,
398,,,,
386,,,,
314,,,,
310,,,,
317,,,,
273,,,,
273,,,,
242,,,,
232,,,,
225,,,,
195,,,,
187,,,,
170,,,,
154,,,,
143,,,,
126,,,,
106,,,,
109,,,,
86,,,,
73,,,,
76,,,,
76,,,,
51,,,,
42,,,,
50,,,,
42,,,,
37,,,,
32,,,,
24,,,,
24,,,,
20,,,,
23,,,,
15,,,,
19,,,,
28,,,,
10,,,,
14,,,,
15,,,,
11,,,,
13,,,,
12,,,,
5,,,,
11,,,,
8,,,,
8,,,,
10,,,,
8,,,,
9,,,,
8,,,,
4,,,,
0,,,,
6,,,,
3,,,,
2,,,,
5,,,,
4,,,,
1,,,,
6,,,,
6,,,,
2,,,,
1,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
1,,,,
1,,,,
0,,,,
0,,,,
1,,,,
0,,,,
1,,,,
0,,,,
0,,,,
3,,,,
0,,,,
0,,,,
1,,,,
0,,,,
0,,,,
0,,,,
1,,,,
0,,,,
0,,,,
0,,,,
0,,,,
1,,,,
1,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
