313,,,AVERAGE,STDEV
94,,,376.5546875,916.4933581
69,,,,
48,,,,
36,,,,
42,,,,
47,,,,
52,,,,
50,,,,
60,,,,
81,,,,
100,,,,
98,,,,
141,,,,
167,,,,
186,,,,
213,,,,
286,,,,
348,,,,
387,,,,
436,,,,
504,,,,
512,,,,
548,,,,
585,,,,
634,,,,
639,,,,
776,,,,
779,,,,
927,,,,
1017,,,,
1096,,,,
1340,,,,
1446,,,,
1639,,,,
1984,,,,
2244,,,,
2526,,,,
2748,,,,
2888,,,,
3144,,,,
3453,,,,
3535,,,,
3661,,,,
3731,,,,
3791,,,,
3844,,,,
3810,,,,
3601,,,,
3645,,,,
3618,,,,
3297,,,,
3063,,,,
3006,,,,
2657,,,,
2534,,,,
2159,,,,
1940,,,,
1699,,,,
1436,,,,
1225,,,,
1017,,,,
878,,,,
755,,,,
536,,,,
475,,,,
387,,,,
338,,,,
227,,,,
192,,,,
141,,,,
123,,,,
93,,,,
64,,,,
58,,,,
46,,,,
31,,,,
23,,,,
25,,,,
12,,,,
9,,,,
6,,,,
6,,,,
4,,,,
2,,,,
3,,,,
2,,,,
2,,,,
1,,,,
2,,,,
1,,,,
0,,,,
0,,,,
1,,,,
0,,,,
0,,,,
0,,,,
1,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
1,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
1,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
